"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0026085501","0103","2023-07-29T03:40:00.000","0","LA CELIA  - AUT","RISARALDA","LA CELIA","CAUCA","5.001330556","-75.998","Velocidad Viento (10 min)","m/s"
"0022045502","0103","2023-07-29T00:25:00.000","0.9729246","EL RUBY  - AUT","TOLIMA","PLANADAS","SALDAÑA","3.95","-75.66666667","Velocidad Viento (10 min)","m/s"
"0026175501","0103","2023-07-29T13:10:00.000","1.792262","RAFAEL ESCOBAR  - AUT","CALDAS","SUPIA","CAUCA","5.45","-75.63305556","Velocidad Viento (10 min)","m/s"
"0023065120","0103","2023-07-29T12:30:00.000","1.6","CABRERA LA","CUNDINAMARCA","PACHO","MEDIO MAGDALENA","5.142","-74.139","Velocidad Viento (10 min)","m/s"
"0044015501","0103","2023-07-29T03:45:00.000","1.798486","MOCOA  - AUT","PUTUMAYO","MOCOA","CAQUETÁ","1.084997222","-76.70763889","Velocidad Viento (10 min)","m/s"
"0021055501","0103","2023-07-29T06:15:00.000","0.6820923","SIMON CAMPOS  - AUT","HUILA","LA PLATA","ALTO MAGDALENA","2.345830556","-75.87805556","Velocidad Viento (10 min)","m/s"
"0026125061","0103","2023-07-29T01:40:00.000","2.2","APTO EL EDEN","QUINDÍO","ARMENIA","CAUCA","4.455","-75.766","Velocidad Viento (10 min)","m/s"
"0016015502","0103","2023-07-29T23:15:00.000","0","BLONAY  - AUT","NORTE DE SANTANDER","CHINÁCOTA","CATATUMBO","7.564997222","-72.62110833","Velocidad Viento (10 min)","m/s"
"0026145504","0103","2023-07-29T11:15:00.000","1.748913","OSPIRMA  - AUT","RISARALDA","GUÁTICA","CAUCA","5.325552778","-75.812775","Velocidad Viento (10 min)","m/s"
"0026165501","0103","2023-07-29T03:10:00.000","0.1556418","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Velocidad Viento (10 min)","m/s"
"0026075501","0103","2023-07-29T12:55:00.000","2.255732","FLORIDA  - AUT","VALLE DEL CAUCA","FLORIDA","CAUCA","3.291469444","-76.17735833","Velocidad Viento (10 min)","m/s"
"0026085501","0103","2023-07-29T18:45:00.000","2.463065","LA CELIA  - AUT","RISARALDA","LA CELIA","CAUCA","5.001330556","-75.998","Velocidad Viento (10 min)","m/s"
"0021025030","0103","2023-07-29T20:30:00.000","3.9","ALTAMIRA EL GRIFO","HUILA","ALTAMIRA","ALTO MAGDALENA","2.079","-75.736","Velocidad Viento (10 min)","m/s"
"0026125061","0103","2023-07-29T06:00:00.000","3.3","APTO EL EDEN","QUINDÍO","ARMENIA","CAUCA","4.455","-75.766","Velocidad Viento (10 min)","m/s"
"0048015040","0103","2023-07-29T11:20:00.000","1.6","PTO NARIÑO","AMAZONAS","PUERTO NARIÑO","AMAZONAS - DIRECTOS","-3.78","-70.363","Velocidad Viento (10 min)","m/s"
"0052055090","0103","2023-07-29T10:30:00.000","5.8","SINDAGUA","NARIÑO","TANGUA","PATÍA","1.108","-77.389","Velocidad Viento (10 min)","m/s"
"0035095130","0103","2023-07-29T17:30:00.000","1","LAGUNA DE LA PLAZA","ARAUCA","SARAVENA","CASANARE","6.362","-72.282","Velocidad Viento (10 min)","m/s"
"0021140120","0103","2023-07-29T00:00:00.000","3.4","CRUCES LAS","TOLIMA","ALPUJARRA","ALTO MAGDALENA","3.426","-74.92","Velocidad Viento (10 min)","m/s"
"0023025040","0103","2023-07-29T20:20:00.000","2.8","ALBANIA","TOLIMA","MARIQUITA","MEDIO MAGDALENA","5.286","-74.903","Velocidad Viento (10 min)","m/s"
"2201500047","0103","2023-07-29T17:40:00.000","0.5","HERRERA - AUT","TOLIMA","PLANADAS","SALDAÑA","3.284138889","-75.80245","Velocidad Viento (10 min)","m/s"
"0016015502","0103","2023-07-29T10:20:00.000","1.039858","BLONAY  - AUT","NORTE DE SANTANDER","CHINÁCOTA","CATATUMBO","7.564997222","-72.62110833","Velocidad Viento (10 min)","m/s"
"0024055501","0103","2023-07-29T01:45:00.000","3.726271","CHUCURI  - AUT","SANTANDER","SAN VICENTE DE CHUCURÍ","SOGAMOSO","6.863566667","-73.38411667","Velocidad Viento (10 min)","m/s"
"0024015503","0103","2023-07-29T12:10:00.000","1.479016","CONFINES  - AUT","SANTANDER","CONFINES","SOGAMOSO","6.373027778","-73.20760833","Velocidad Viento (10 min)","m/s"
"0026085501","0103","2023-07-29T01:10:00.000","0","LA CELIA  - AUT","RISARALDA","LA CELIA","CAUCA","5.001330556","-75.998","Velocidad Viento (10 min)","m/s"
"0016015501","0103","2023-07-29T00:20:00.000","8.4","APTO CAMILO DAZA","NORTE DE SANTANDER","CÚCUTA","CATATUMBO","7.932","-72.511","Velocidad Viento (10 min)","m/s"
